id,customer_message,gold_intent,pred_intent,intent_confidence,gold_decision,pred_decision,decision_reason,agent_reply,grounded,top_retrieval_sim,judge_overall,latency_ms
gold_011,fix the screen recorder cuz I was trying to do a video and it messed up #applebug #apple #ipadpro #fixthis,hardware_audio_and_screen,hardware_audio_and_screen,0.4066,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.41) or confidence margin (0.19) is below automation threshold.,"We'd like to help. Hi! Screen recording is available on the iPad Pro. We can move to DM, and figure out why it's not working as expected.",True,0.6516,4.6,75.36
gold_012,Apple what’s up with these question mark boxes 🤔😒,other,other,0.3269,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent confidence (0.33) or confidence margin (0.15) is below automation threshold. Query is unclassified or outside standard Apple Support troubleshooting domain.,We'd like to help. Hello there. Please meet us in DM and we'll check a few things with you now. Tap here to continue:,True,0.8927,4.6,63.25
gold_013,"Apple you suck! YALL LOST ALL OF MY 13,000 PHOTOS/VIDEOS ! THIS IS THE SECOND TIME THIS HAPPENS FOR NO REASON !",general_complaint_and_escalation,apple_id_and_icloud,0.1994,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent 'apple_id_and_icloud' is designated for mandatory human review. Intent confidence (0.20) or confidence margin (0.04) is below automation threshold.,"We'd like to help. We'd be happy to help with your missing content. Meet us in DM with your iPhone model and iOS version, please.",True,0.6818,4.5,72.5
gold_014,"Why can’t I receive calls, I can hear the ringtone but I can’t see who’s calling? 😕",hardware_audio_and_screen,ios_software_update_bugs,0.2197,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.22) or confidence margin (0.06) is below automation threshold.,We'd like to help. Being able to hear on phone calls is important. Which iPhone are you using? Have there been any recent changes?,True,0.6969,4.35,70.67
gold_015,I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️. I️,other,ios_software_update_bugs,0.2405,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent confidence (0.24) or confidence margin (0.06) is below automation threshold.,We'd like to help. Here’s what you can do to work around the issue until it’s fixed in a future software update:,True,0.96,4.5,69.04
gold_016,"Yeah, I click the Share or Invite and my mac just beeps at me? #ringaroundtherosie",other,other,0.162,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent confidence (0.16) or confidence margin (0.01) is below automation threshold. Query is unclassified or outside standard Apple Support troubleshooting domain.,We'd like to help. Which device and version of iOS are you using? Navigate to Settings > General > About and let us know in DM.,True,0.5268,4.5,71.06
gold_017,I've tryed to reset my icloud account password and its saying its lock,apple_id_and_icloud,apple_id_and_icloud,0.8462,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,"Involves Apple ID credentials, account lockout, or two-factor authentication recovery. Intent 'apple_id_and_icloud' is designated for mandatory human review.",We'd like to help. We're happy to assist. This article can help you to unlock your account: DM us with any questions.,True,0.7881,4.75,67.67
gold_018,We need these bookmarks on Mac. On iPhone I have apps for these. Any way to prevent syncing certain Mac bookmarks to iPhone?,general_how_to_and_features,general_how_to_and_features,0.2619,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.26) or confidence margin (0.06) is below automation threshold.,We'd like to help. We would like to help you with your music. Do you subscribe to Apple Music? Are you connecting your iPhone to a computer? DM us:,True,0.4821,4.5,73.58
gold_019,I just got my Powerbeats 3 today and Ive already noticed the audio is not insync when watching a YouTube video? Theres a delay,hardware_audio_and_screen,hardware_audio_and_screen,0.3821,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.38) or confidence margin (0.25) is below automation threshold.,We'd like to help. Let’s get you pointed in the right direction. Our team will take it from here.,True,0.6178,4.6,77.33
gold_020,I'm trying to figure out how my phone on DND but I'm still being disturbed,hardware_audio_and_screen,hardware_audio_and_screen,0.2629,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.26) or confidence margin (0.09) is below automation threshold.,We'd like to help. We'd be happy to help with the Do Not Disturb feature. Can you DM us your version of iOS and what's happening exactly?,True,0.7601,4.75,75.85
gold_021,". I have an order number, yet it doesn't match in your system? No confirm email over 20 min since I ordered. #iphoneXFAIL #iphonex",order_shipping_and_trade_in,order_shipping_and_trade_in,0.6114,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.61) or confidence margin (0.53) is below automation threshold.,We'd like to help. Which country are you located in? Please reply in DM.,True,0.7402,4.6,86.7
gold_022,I don't want auto brightness #ios11 #ios #appleiphone7 #iphone7 #iphone #apple there is no option to disable auto brightness,battery_and_charging,ios_software_update_bugs,0.2517,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.25) or confidence margin (0.03) is below automation threshold.,We'd like to help. Check out the iPhone iOS 11 User Manual for display options here: Questions? Feel free to DM us here:,True,0.7989,4.5,84.34
gold_023,Dear is it really so difficult to add basic management who is connected to my Personal Hot Spot in iOS? IMO it’s must-have,general_how_to_and_features,ios_software_update_bugs,0.3247,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.32) or confidence margin (0.18) is below automation threshold.,We'd like to help. You're welcome to reach out to our phone support and all of our support numbers can be found at,True,0.5377,4.1,72.34
gold_024,What are you doing with the AppleCare + of iPhone 7 users who are getting the iPhone X? Refund? Transferable?,app_store_billing_and_subscriptions,app_store_billing_and_subscriptions,0.2337,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,"Involves financial billing, unauthorized transaction, or refund demand requiring secure verification. Intent 'app_store_billing_and_subscriptions' is designated for mandatory human review. Intent confidence (0.23) or confidence margin (0.05) is below automation threshold.",We'd like to help. We'd like to look into this with you. DM which iOS version you're on with the following link and we'll help there.,True,0.6244,4.75,70.97
gold_025,Hi Guys! Any help?? Can’t back my phone up anymore to iTunes on my windows laptop? Has worked great for years,apple_id_and_icloud,app_store_billing_and_subscriptions,0.1866,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent 'app_store_billing_and_subscriptions' is designated for mandatory human review. Intent confidence (0.19) or confidence margin (0.03) is below automation threshold.,"We want to help. Just to confirm, iTunes isn't recognizing your devices, is that correct? Is this happening on a Mac or PC?",True,0.7441,4.35,72.33
gold_026,GIVE ME BACK MY iiiiiiiiiiiiii,apple_id_and_icloud,ios_software_update_bugs,0.2233,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.22) or confidence margin (0.02) is below automation threshold.,"We'd like to help. Hey, we'd like to offer some guidance. DM us the iOS version and we'll take it from there.",True,0.6767,4.5,62.36
gold_027,I don’t don’t wanna sound like a broke bitch but uhhhh finessed my change of 2.11$,hardware_audio_and_screen,ios_software_update_bugs,0.2349,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.23) or confidence margin (0.01) is below automation threshold.,"We'd like to help. We'd be happy to look into this with you. Please meet us in DM so we may gather information, and better assist.",True,0.4707,4.25,70.9
gold_028,Why the fuck did my phone just make an alarm beeping sound,hardware_audio_and_screen,hardware_audio_and_screen,0.3274,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.33) or confidence margin (0.19) is below automation threshold.,Let's look into that. Send us a DM and we'll go from there.,True,0.6944,4.6,64.65
gold_029,Lol trying to get my new iPhone set up but contact is down.,order_shipping_and_trade_in,order_shipping_and_trade_in,0.1878,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.19) or confidence margin (0.02) is below automation threshold.,We'd like to help. We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started.,True,0.6067,4.6,67.06
gold_030,"Bonjour, les cartes bancaires à Cryptogramme Visuel Dynamique seront elles compatibles avec Apple Pay ?",general_how_to_and_features,app_store_billing_and_subscriptions,0.2356,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent 'app_store_billing_and_subscriptions' is designated for mandatory human review. Intent confidence (0.24) or confidence margin (0.05) is below automation threshold.,We'd like to help. We offer support via Twitter in English. Contact us for help in your preferred language here:,True,0.5946,4.1,76.52
gold_031,battery life now stinks bad!!! 3 hours 100% to 0 !!!!!!,battery_and_charging,battery_and_charging,0.5872,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.59) or confidence margin (0.49) is below automation threshold.,We'd like to help. We are here to help. What kind of device do you have and is it running iOS 11.0.3? You can check in Settings > General > About,True,0.6819,4.75,68.27
gold_032,"my daughter's new-ish iphone 6s's battery is terrible, can we do some diagnostics on it?",battery_and_charging,battery_and_charging,0.474,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent confidence (0.47) or confidence margin (0.33) is below automation threshold.,We'd like to help. We'd love to help with this. DM us which version of the operating system your iPhone is running and we'll get started.,True,0.739,4.75,70.67
gold_033,Is there anyway to stop iCloud notifications?,apple_id_and_icloud,apple_id_and_icloud,0.5647,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent 'apple_id_and_icloud' is designated for mandatory human review. Intent confidence (0.56) or confidence margin (0.49) is below automation threshold.,"We'd like to help. To get started, let us know which device you're using.",True,0.5652,4.35,66.33
gold_034,FaceTime isn't working!,hardware_audio_and_screen,hardware_audio_and_screen,0.2121,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.21) or confidence margin (0.05) is below automation threshold.,We'd like to help. FaceTime is a great feature so we want to help you get it working. Take a look here:,True,0.6578,4.6,62.09
gold_035,"I don’t get this feature in #iOS11 or #iPhone8 If you double-tap, w/o pressure, on the Home button. ?",general_how_to_and_features,ios_software_update_bugs,0.2626,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.26) or confidence margin (0.02) is below automation threshold.,"We'd like to help. We're here to help. Is it touch that seems broken, or does it seem like the iPhone itself is slow? Let us know in DM.",True,0.5689,4.1,75.51
gold_036,"Why promise me a refund and never deliver, then say its too late? I took all the right steps. Where is the accountability?",app_store_billing_and_subscriptions,app_store_billing_and_subscriptions,0.2911,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,"Involves financial billing, unauthorized transaction, or refund demand requiring secure verification. Intent 'app_store_billing_and_subscriptions' is designated for mandatory human review. Intent confidence (0.29) or confidence margin (0.15) is below automation threshold.",Thanks for reaching out. We've also received your DM message and will reply there to help sort this out.,True,0.5119,4.35,73.79
gold_037,could you fix the Bluetooth so it stops disconnecting every two god damn seconds? 🤦🏻‍♀️,general_how_to_and_features,ios_software_update_bugs,0.2931,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.29) or confidence margin (0.10) is below automation threshold.,Thanks for reaching out. We’d be happy to help! Let us know which device you’re using in DM. We’ll continue from there.,True,0.6963,4.35,67.31
gold_038,"Bienvenida sea la multi tarea al 3D touch en iphone, gracias #newupdate",general_how_to_and_features,ios_software_update_bugs,0.2081,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.21) or confidence margin (0.01) is below automation threshold.,We'd like to help. We offer support via Twitter in English. Get help in Spanish here: or join,True,0.6403,4.35,68.91
gold_039,I️ have no patience at all!! How much longer til I️ can get my hands on my iPhone X 😫😫😫,general_complaint_and_escalation,ios_software_update_bugs,0.2374,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent confidence (0.24) or confidence margin (0.07) is below automation threshold.,We'd like to help. We're sorry to hear that we weren't able to get properly connected. Let's go into DM so we can see what's going on.,True,0.6186,4.35,72.74
gold_040,Now YouTube won't play. Wtf is wrong with my phone.,hardware_audio_and_screen,hardware_audio_and_screen,0.3079,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.31) or confidence margin (0.11) is below automation threshold.,We want to help! DM us and let us know more about the issues you are having.,True,0.6391,4.75,66.46
gold_041,What is this,hardware_audio_and_screen,ios_software_update_bugs,0.2249,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.22) or confidence margin (0.02) is below automation threshold.,Let's look into this. This message appears to be a phishing attempt. This page can help:,True,1.0,4.35,60.02
gold_042,__email__ is this a real email???,other,other,0.2758,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent confidence (0.28) or confidence margin (0.13) is below automation threshold. Query is unclassified or outside standard Apple Support troubleshooting domain.,We'd like to help. Let's take a closer look together. Here's a link to DM us.,True,0.8593,4.75,64.28
gold_043,"Why can I not type ""I"" in ?",ios_software_update_bugs,ios_software_update_bugs,0.2972,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.30) or confidence margin (0.06) is below automation threshold.,We'd like to help. Hi. We'd like to help. Tell us the device you're using and the OS version it's running and we'll go from there.,True,0.9556,4.75,62.92
gold_044,"Hey , is there a way on IOS 11 to turn off auto brightness? Cause it’s been really killing my phone",ios_software_update_bugs,ios_software_update_bugs,0.3886,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.39) or confidence margin (0.16) is below automation threshold.,We'd like to help. Check out the iPhone iOS 11 User Manual for display options here: Questions? Feel free to DM us here:,True,0.8832,4.75,71.27
gold_045,why does my iPhone think it’s 8:55 and I’m in a different time zone when I’m very much in California where it’s 7:55?,order_shipping_and_trade_in,ios_software_update_bugs,0.2437,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.24) or confidence margin (0.03) is below automation threshold.,We'd like to help. We're happy to help! Let’s meet in DM and we’ll check this out together.,True,0.7528,4.35,76.97
gold_046,what is this and what have you done with my i’s?,other,ios_software_update_bugs,0.2558,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent confidence (0.26) or confidence margin (0.07) is below automation threshold.,We'd like to help. We're here for you. DM us and tell us the device you have and version of OS you're running.,True,0.7135,4.5,64.96
gold_047,Thanks - you bring out the new phone and iOS update and once again my old phone is knackered. This sales tactic is wanky!,ios_software_update_bugs,ios_software_update_bugs,0.3897,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.39) or confidence margin (0.24) is below automation threshold.,"We'd like to help. We'd like to see what we can do, Gabe. Let us know via DM what's going on with your iPhone and we'll get started.",True,0.7534,4.6,73.8
gold_048,"What’re u guys doing 2 my iPhone?It’s overheating,battery draining to a point,beyond annoying.#FixMyiPhone",battery_and_charging,battery_and_charging,0.6621,AUTO_HANDLE,AUTO_HANDLE,Routine technical support issue (battery_and_charging) classified with 0.66 confidence (margin: 0.58) and grounded in historical precedent (similarity: 0.68).,We'd like to help. We’re happy to help with any complications you’re facing. How long ago did you update? Let us know via a DM.,True,0.6841,4.75,75.04
gold_049,"Se vc ainda não atualizou o iOS para iPhone, não atualize, pois, depois da atualização, a bateria não dura nada",general_how_to_and_features,ios_software_update_bugs,0.257,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.26) or confidence margin (0.07) is below automation threshold.,We'd like to help. We offer support via Twitter in English. Contact us for help in your preferred language here:,True,0.7757,4.35,82.36
gold_050,my new iPhone 8 has started making randomly making smoke alarm-like noises. Any ideas?!,hardware_audio_and_screen,ios_software_update_bugs,0.2957,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.30) or confidence margin (0.04) is below automation threshold.,We'd like to help. We got your DM and will reply there.,True,0.7452,4.35,68.19
gold_051,Does anyone want to tell me why I just got a call from my own number? It’s not October anymore stop tryna be spooky,order_shipping_and_trade_in,apple_id_and_icloud,0.1563,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent 'apple_id_and_icloud' is designated for mandatory human review. Intent confidence (0.16) or confidence margin (0.01) is below automation threshold.,We want to help find the right solution to this issue. Shoot us a DM and we'll get started.,True,0.5372,4.1,74.16
gold_052,"Why is the worst performing app on my watch, my Nike running app??!",general_complaint_and_escalation,app_store_billing_and_subscriptions,0.2518,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent 'app_store_billing_and_subscriptions' is designated for mandatory human review. Intent confidence (0.25) or confidence margin (0.02) is below automation threshold.,"We'd like to help. Is the app no longer launching? Let us know. Also, are there any updates for the app in the App Store?",True,0.5627,4.25,66.3
gold_053,can we get battery replaced for this #IPOD 80GB ?,battery_and_charging,battery_and_charging,0.5207,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.52) or confidence margin (0.45) is below automation threshold.,"We'd like to help. We'd like to look into all your available service options with you. Please meet us in DM so we can gather info, and help.",True,0.7045,4.6,64.65
gold_054,good morning from PR when will u be selling Carrier unlocked iPhone X? Thanks 🙏,order_shipping_and_trade_in,order_shipping_and_trade_in,0.3438,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.34) or confidence margin (0.21) is below automation threshold.,We'd like to help. We’d like to get you in touch with our Apple Online Store. You can reach out to them here:,True,0.7537,4.6,68.01
gold_055,I’m really really excited to pick up my iPhone X from Covent Garden tomorrow... but not sure I can make my allotted time slot any more! Can I come earlier/later?,order_shipping_and_trade_in,general_how_to_and_features,0.2399,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.24) or confidence margin (0.05) is below automation threshold.,We'd like to help. Our online sales team should be able to answer that for you. Please reach out to them here:,True,0.5949,4.1,79.29
gold_056,could you explain this electric hammer sound coming from my MacBook? 😱 #neverheardsthisbefore #weirdnoise,hardware_audio_and_screen,hardware_audio_and_screen,0.3817,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.38) or confidence margin (0.22) is below automation threshold.,We'd like to help. We'd be happy to see how we can help. When did you first start hearing the fan noise?,True,0.6109,4.6,72.57
gold_057,"A ver , Siri está últimamente más tonta de lo normal. No hay manera de crear un recordatorio. Reconoce lo que le digo pero...⬇️",general_how_to_and_features,other,0.1667,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.17) or confidence margin (0.01) is below automation threshold. Query is unclassified or outside standard Apple Support troubleshooting domain.,"We'd like to help. Since our Twitter support is available in English, get help at or join",True,0.4825,4.1,83.59
gold_058,The Burn In on my new iPhone X is bullshit! Can I get a refund and get the 8 Plus???? #notworthit #apple #burntapple,app_store_billing_and_subscriptions,app_store_billing_and_subscriptions,0.2168,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,"Involves financial billing, unauthorized transaction, or refund demand requiring secure verification. Intent 'app_store_billing_and_subscriptions' is designated for mandatory human review. Intent confidence (0.22) or confidence margin (0.03) is below automation threshold.",We understand your concern. Please send us a DM to let us know what was happening prior to this.,True,0.6468,4.6,76.42
gold_059,Hey why the fuck can’t I️ say I️? Fix this shit before you lose a customer to Android you fuck asses.,general_complaint_and_escalation,general_complaint_and_escalation,0.2761,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent confidence (0.28) or confidence margin (0.01) is below automation threshold.,Thanks for reaching out. We have a workaround for this here:,True,0.7108,4.6,71.31
gold_060,any problems with podcast app in Europe/Switzerland? Can‘t connect to the „store“,app_store_billing_and_subscriptions,app_store_billing_and_subscriptions,0.292,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent 'app_store_billing_and_subscriptions' is designated for mandatory human review. Intent confidence (0.29) or confidence margin (0.11) is below automation threshold.,Thanks for reaching out to us. Can you please clarify the technical issue that you are having? That way we can better assist you.,True,0.6514,4.75,68.42
gold_061,"you guys broke my iphone. Fix your ios!! Tored of apple, was going to buy iphone x but naw ill get a samsung.",general_complaint_and_escalation,ios_software_update_bugs,0.328,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent confidence (0.33) or confidence margin (0.18) is below automation threshold.,We'd like to help. We'd like to look into this with you. Send us a DM including details on what you're experiencing. We'll continue there.,True,0.7863,4.35,74.21
gold_062,I have a question,app_store_billing_and_subscriptions,other,0.2962,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent confidence (0.30) or confidence margin (0.11) is below automation threshold. Query is unclassified or outside standard Apple Support troubleshooting domain.,We'd like to help. Our Photos experts would be happy to assist you. Get in touch with them here:,True,0.8018,4.5,59.8
gold_063,can u guys fix this annoying ass question mark glitch on the iPhones like TODAY,ios_software_update_bugs,ios_software_update_bugs,0.3832,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.38) or confidence margin (0.16) is below automation threshold.,We'd like to help. We’re here for you. Try the steps here and let us know if you still need help:,True,0.7439,4.75,84.25
gold_064,Ever since the latest update my phone battery is AWFUL. What’s going on ? This is ridiculous.,battery_and_charging,battery_and_charging,0.4294,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.43) or confidence margin (0.12) is below automation threshold.,We'd like to help. We'd be happy to take a look into this with you. Could you please send us a DM so we can gather some info?,True,0.8297,4.6,78.69
gold_065,"IOS 11.0.2 apesta, actualice y tengo falla de apagado, reinicio, batería y sobrecalentamiento.",ios_software_update_bugs,ios_software_update_bugs,0.4647,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.46) or confidence margin (0.37) is below automation threshold.,We'd like to help. We offer support via Twitter in English. Get help in Spanish here: or join,True,0.7577,4.6,87.87
gold_066,Is there anyway to change these to metric units ? Thanks,order_shipping_and_trade_in,other,0.18,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.18) or confidence margin (0.01) is below automation threshold. Top historical evidence similarity (0.29) is below minimum threshold (0.45). Query is unclassified or outside standard Apple Support troubleshooting domain.,Thanks for reaching out. We want to help get this sorted out for you. Could you please let us know your exact device model and current software version via DM so we can assist further?,False,0.2931,4.0,64.21
gold_067,WHY DOES ’S NEW iOS INSIST ON TURNING ON BLUETOOTH ALWAYS?!?,ios_software_update_bugs,ios_software_update_bugs,0.4014,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.40) or confidence margin (0.21) is below automation threshold.,We'd like to help. We're glad to help. Wi-Fi and Bluetooth options in the Control Center have been updated for iOS 11:,True,0.7809,4.75,68.29
gold_068,please get your shit together. I️ just had to figure out of how to write an email without using I️.,other,other,0.3466,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent confidence (0.35) or confidence margin (0.13) is below automation threshold. Query is unclassified or outside standard Apple Support troubleshooting domain.,We'd like to help. Here’s what you can do as a work around until it’s fixed in a future software update: DM us questions.,True,0.6303,4.75,69.74
gold_069,my Apple Music subscription begun like a week ago but it says I have to renew my membership please help,app_store_billing_and_subscriptions,app_store_billing_and_subscriptions,0.5936,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,Intent 'app_store_billing_and_subscriptions' is designated for mandatory human review. Intent confidence (0.59) or confidence margin (0.51) is below automation threshold.,We'd like to help. We’re investigating and will update our System Status page as more info becomes available:,True,0.7523,4.75,68.35
gold_070,I asked a question earlier & got no answer! Now I have a 2nd question Apple Watch not counting how many x I climb the stairs,general_how_to_and_features,other,0.2339,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.23) or confidence margin (0.09) is below automation threshold. Query is unclassified or outside standard Apple Support troubleshooting domain.,"We'd like to help. Hey there, we'd be happy to look into this with you. Can you provide us which watchOS you're currently using?",True,0.507,4.1,72.71
gold_071,how do I use my iCloud that I pay for on my iphone6? No space on phone but lots of iCloud doing nothing? Help please?,apple_id_and_icloud,apple_id_and_icloud,0.565,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent 'apple_id_and_icloud' is designated for mandatory human review. Intent confidence (0.56) or confidence margin (0.41) is below automation threshold.,"We'd like to help. Of course, we'd be happy to. What issues are you having with doing so? Are you unable to login to your account?",True,0.6678,4.6,80.38
gold_072,I have a Mac at home that I would like to access a Mac in work with. 1/2,order_shipping_and_trade_in,general_how_to_and_features,0.1612,AUTO_HANDLE,ESCALATE_TO_HUMAN,Intent confidence (0.16) or confidence margin (0.00) is below automation threshold.,We'd like to help. Thanks for connecting with us. Let us know in DM when exactly this pop-up appeared and we'll go from there.,True,0.5053,4.1,78.54
