id,customer_message,context,gold_intent,gold_decision,gold_reason,optional_reference_notes
gold_031,don't like the new ios update. slowed phone (v6) down and cellular data toggle not working right. grrrr.,don't like the new ios update.  slowed phone (v6) down and cellular data toggle not working right.  grrrr.,,,,Historical agent resolution snippet: We want to be sure you get the most out of the iOS update. We're happy to help. Send us a DM and we'll take it from ther...
gold_032,I’m gonna need you to fix this issue,"I’m gonna need you to fix this issue @115858
the i️ issue",,,,Historical agent resolution snippet: What issues are you experiencing. We'd like to hear more about it so we can take a look at how we can help....
gold_033,My iPhone constantly crashes since I installed #iOS11 had to hard reset at least 15 times in the last 2 weeks. Sort it out,My iPhone constantly crashes since I installed #iOS11 had to hard reset at least 15 times in the last 2 weeks.  Sort it out @AppleSupport,,,,Historical agent resolution snippet: We're here to help. Can you tell us when you first encounter this issue?...
gold_034,"High Sierra has killed my mid 2010 Mac mini. Run diagnostics, recovery mode and reinstalled. Nothing. Just boot hanging. Gah.","High Sierra has killed my mid 2010 Mac mini. Run diagnostics, recovery mode and reinstalled. Nothing. Just boot hanging. Gah.
https://t.co/FXlDHGmclk
Hello. No error message. Just the Apple logo and the progress bar which is stuck at what I assume is 100%?
I installed it yesterday. Was OK but froze today. Rebooted and into this boot hang. I've just powered off and trying again. It's stuck hrs.",,,,"Historical agent resolution snippet: Let's take a look! To start, do you get an error on the screen during installation? Or an error while it's attempt to bo..."
gold_035,what is this and how do I️ fix it??? It just started today. I️ can no longer type “I️” with this appearing!! #fixit,"what is this and how do I️ fix it??? It just started today. I️ can no longer type “I️” with this appearing!! #fixit https://t.co/L0VbbrAaxv
and even thought I️ typed I️ in my text to you, it posted as a question mark inside a box every time ?????",,,,Historical agent resolution snippet: Here’s what you can do to work around the issue until it’s fixed in a future software update:...
gold_036,"Hey fuck off with these, I know it's y'all...","Hey @115858 fuck off with these, I know it's y'all... https://t.co/NndbroFXhS",,,,Historical agent resolution snippet: We'd love to look into it with you. Please send us a DM....
gold_037,These ? mark boxes are annoying as hell! you fuckin up,These ? mark boxes are annoying as hell! @115858 you fuckin up,,,,Historical agent resolution snippet: Here’s what you can do to work around the issue until it’s fixed in a future software update:...
gold_038,исправьте эту хренотень с автоматически включающимся вай-фаем!и уберите вариации клавиатуры!,"исправьте эту хренотень с автоматически включающимся вай-фаем!и уберите вариации клавиатуры!
Icant turn off wifi since I’ve new ios its always on without my permission and i cant turn of new option with three keypads",,,,Historical agent resolution snippet: We offer support via Twitter in English. Contact us for help in your preferred language here:...
gold_039,"After driving 300km and a lot of hassle I‘ve come to the conclusion, that the 2017 iPad Pro must have a design issue 1/2","After driving 300km and a lot of hassle I‘ve come to the conclusion, that the 2017 iPad Pro must have a design issue 1/2
Even my Second device „breaths“ through the lightningport. It is annoying... as soon as I touch it one can hear air whiffing. What can i do?",,,,Historical agent resolution snippet: Thank you for these details and bringing this to our attention. Please DM us via the following link and we'll assist you...
gold_040,why would your #NightMode #ios11 make me feel sick and get a terrible headache and it go away the second I turn it off?,,,,,Historical agent resolution snippet: Thank you for reaching out about your health concerns. Please DM as much details as you can about this....
gold_041,Apple Music isn’t working. Already a member but I can’t access the songs I’ve downloaded from the service.,,,,,Historical agent resolution snippet: We'd be happy to look into this with you. Please reach out to us via DM and we'll get started....
gold_042,Will fix this I️ situation?! I’m tired of reading boxes,Will @115858 fix this I️ situation?! I’m tired of reading boxes,,,,Historical agent resolution snippet: Here’s what you can do to work around the issue until it’s fixed in a future software update:...
gold_043,This new iOS update sucks!! My phone freezes and dies all the time now😡😡,"This new iOS update sucks!! My phone freezes and dies all the time now😡😡 @115858
7 plus. iOS 11.0.3
@553376 Just give him a beer, he’s not himself when he’s thirsty. 🍺",,,,"Historical agent resolution snippet: We're here to help. Which model iPhone are you currently using? Also, which version of iOS is installed?..."
gold_044,Dear i bought your neat little $1000 phone but i can’t even read a complete sentence due to the A [?]..fix your shit,Dear @115858 i bought your neat little $1000 phone but i can’t even read a complete sentence due to the A [?]..fix your shit,,,,Historical agent resolution snippet: Here’s what you can do to work around the issue until it’s fixed in a future software update:...
gold_045,"Than I was told by the guy at that when I purchased the phone at their CORPORATE store in my area they forgot to turn on my VPN data, and that it was a network problem with not my phone carrier","Than I was told by the guy at @115911 that when I purchased the phone at their CORPORATE store in my area they forgot to turn on my VPN data, and that it was a network problem with @115858 not my phone carrier
The problem isn’t with you. I was lied to by a @115911 representive at the store when he told me that you all were having net work errors and that’s why I couldn’t get SMS messages.",,,,"Historical agent resolution snippet: We'd like to make sure you get the help that you need. Just to be clear, are you having trouble with SMS, or VPN access?..."
gold_046,I️ downloaded the latest update for #iOS11 and keep having issues of “i” being replaced with weird characters & question marks,"I️ downloaded the latest update for #iOS11 and keep having issues of “i” being replaced with weird characters &amp; question marks
Thanks for the reply! I️ just sent you a DM with the requested info.",,,,"Historical agent resolution snippet: Which device and version of iOS 11 are you using? Check Settings > General > About, and let us know in DM...."
gold_047,fuck iOS11 can’t make calls or nun messing my phone up,,,,,Historical agent resolution snippet: That should not be happening. Let us help. Tell us more about this in DM....
gold_048,Unable to open documents in Pages on iPad since last updat please help,"Unable to open documents in Pages on iPad since last updat please help @AppleSupport @2446
No updates for Pages. I can open the app, but I can not open the documents.",,,,Historical agent resolution snippet: Thanks for reaching out. Are there any updates for Pages in the App Store? Are you able to open the Pages app without is...
gold_049,My iphone7s microphone doesn’t work. when i make calls or video calls no one can hear me. i’ve tried everything.,"My iphone7s microphone doesn’t work. when i make calls or video calls no one can hear me. i’ve tried everything.
don’t send me one of those article things. it doesn’t work. i use my PHONE to CALL. ? and now calling doesn’t work bc of ios11...wow.",,,,"Historical agent resolution snippet: No worries about the article, we can go over all the steps together and get your mic working again. Please DM us...."
gold_050,I’m tired of these fucking boxes,"I’m tired of these fucking boxes @115858
It didn’t work..",,,,Historical agent resolution snippet: Here’s what you can do to work around the issue until it’s fixed in a future software update:...
gold_051,since updating to iOS 11.3 my Apple watch dies at 15:00 and iPhone 6splus dead at 17:00. Battery draining too fast...,since updating to iOS 11.3 my Apple watch dies at 15:00 and iPhone 6splus dead at 17:00. Battery draining too fast…,,,,Historical agent resolution snippet: Great battery life is important. Let's pair up in DM and we'll get a closer look at what you're seeing....
gold_052,"Fix your shit. When i hit rhe screen recorder it starts recording like always, but no matter how many times i click it, IT WONT STOP!",,,,,Historical agent resolution snippet: Let's look into this together. To begin send us a DM telling us which iOS version and on which device it's happening....
gold_053,Sad that watchOS 4 doesn’t allow me to use the Watch as my iPhone’s music control – one of the reasons I got this watch!,"Sad that watchOS 4 doesn’t allow me to use the @115858 Watch as my iPhone’s music control – one of the reasons I got this watch!
It doesn’t. It only shows the synced music in the Watch and no longer allows me to use the Watch to control my iPhone’s iTunes playlist.",,,,"Historical agent resolution snippet: When your paired iPhone is in range, you can use your Apple Watch to control the music on your iPhone!..."
gold_054,I love the way my keyboard is glitching. Fix I️t,I love the way my  keyboard is glitching. Fix I️t,,,,"Historical agent resolution snippet: We're here to help you. DM us some further details including the device and OS version you're using, and we can go from ..."
gold_055,So the can’t seem to activate Watch Series 3!!! Literally that’s the only reason to get the GPS+LTE!,So the @ATT @117735 can’t seem to activate @AppleSupport Watch Series 3!!! Literally that’s the only reason to get the GPS+LTE!,,,,Historical agent resolution snippet: We'd love to help! Let us know in a DM if you have any questions after reading this guide:...
gold_056,I️ am annoyed with this thing that comes up every time I️ type I️,I️ am annoyed with this thing that comes up every time I️ type I️ @AppleSupport,,,,Historical agent resolution snippet: Thanks for reaching out. We have a workaround for this here: DM us if you still need help....
gold_057,When pulling the control centre the icons sometimes get grayed out. See screenshot.,"@AppleSupport When pulling the control centre the icons sometimes get grayed out. See screenshot. https://t.co/aVYUMarIqI
It happens randomly when opening the control center. I have the latest one iOS 11.0.3
Any app in the dock will grey out not just messages and phone",,,,Historical agent resolution snippet: Let's help. Is this only happening after opening then closing the Control Center? Which iOS version do you have?...
gold_058,How do I retrograde iOS 11 to 10 on my iPhone 6. It should have never permitted the update because 11 has made it SO SLOW.,,,,,Historical agent resolution snippet: We'd like to look into this with you. Click here to join us in DM:...
gold_059,Say man my iMessage effects not working wassup wit dat ?,Say man my iMessage effects not working wassup wit dat ? @115858,,,,"Historical agent resolution snippet: Thanks for letting us know, we’d be glad to look into this further. Please confirm your iOS version via DM...."
gold_060,My wife’s #iPhone6 & son’s #iPhone7 has started heating up after the last #ios11update . Does it pose a risk? Any solution?,"My wife’s #iPhone6 &amp; son’s #iPhone7 has started heating up after the last #ios11update . Does it pose a risk? Any solution?
Thank you. But it's not just warming up. It's heating up.. all four of us in the family have been using iPhones. Never had this issue before",,,,Historical agent resolution snippet: Thanks for reaching out. It can be normal for your device to feel warm in certain situations:...
gold_061,“I️” FIX THIS SHIT NOW,“I️” FIX THIS SHIT NOW @115858,,,,Historical agent resolution snippet: Here’s what you can do to work around the issue until it’s fixed in a future software update:...
gold_062,what the heck is up with my I️??? Make I️t stop please!!,,,,,Historical agent resolution snippet: Thanks for reaching out. This workaround will help until this issue is resolved in a future update:...
gold_063,My iPhone has been restoring and backing data since Thursday- I️ can’t install the new software. 😞 Any way to help?,"My@new iPhone has been restoring and backing@up data since Thursday- I️ can’t install the new software. 😞 Any way to help?
It was for a solid 24 hours, but it finally did its thing overnight. Thank you! Excited for new emojis 🦄",,,,Historical agent resolution snippet: We'd love to look into this with you. Has your iPhone been constantly connected to Wi-Fi? Let us know in DM....
gold_064,Is it safe to use a device that does not support iOS 11?,"Is it safe to use a device that does not support iOS 11?
Yes, exactly. iPad MD523FD/A.
Sorry, it's an iPad (4th generation) Wi-Fi + Cellular (MM).
I know that. This is why I asked if it's safe to use a device that is not capable of running iOS 11.",,,,Historical agent resolution snippet: We can get you some info on this. Are you asking if it's okay to use a model that isn't capable of updating to iOS 11?...
gold_065,"hey is there any way to check battery health, I can’t get live chat to work???",,,,,Historical agent resolution snippet: We can help you with your battery for your device. Send us a DM and tell us which Apple device you have and we'll help....
gold_066,Photos keeps telling me to unlock my phone but it already is unlocked? Help!,,,,,Historical agent resolution snippet: Let's see how we can help. Where are you seeing this message? DM us and we'll make a plan to help....
gold_067,Thank you for having my whole library of music be deleted. 🙂,Thank you @AppleSupport for having my whole library of music be deleted. 🙂 https://t.co/xYW118CrpF,,,,Historical agent resolution snippet: Let's get you back to your tunes. Meet up with us in DM to get started....
gold_068,whenever I take screenshots on my iPhone 7 it takes a screenshot but goes grey? And my phone keeps freezing 😭,"whenever I take screenshots on my iPhone 7 it takes a screenshot but goes grey? And my phone keeps freezing 😭
It works now just updated it xx
Yep!
Thank you 😊",,,,Historical agent resolution snippet: Thank you. Can you tell us which software version you're using?...
gold_069,"my wifes iPhone 8 is hung up, how do I do a hard restart?","my wifes iPhone 8 is hung up, how do I do a hard restart?
I had found all those solutions, and none worked.  I turned on the flashlight, ran the battery out until it shut off.  Then charged and on.😶",,,,"Historical agent resolution snippet: Thanks for reaching out, let's get her iPhone up and running. This article explains how to restart:..."
gold_070,why does the watch not show the Snapchat icon anymore when we get notifications?,why does the watch not show the Snapchat icon anymore when we get notifications? https://t.co/t6DK0BKVTL,,,,Historical agent resolution snippet: Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together....
gold_071,Anyone else’s #battery #loosing #charge very fast since last #iOS update? #apple #iphone6s,"Anyone else’s #battery #loosing #charge very fast since last #iOS update?  @115858 #apple #iphone6s
It’s was fine before last update - why the sudden change - I’m not happy!",,,,"Historical agent resolution snippet: If you're having issues with battery life, we're happy to help. Have you checked out the suggestions here:..."
gold_072,"This stupid ""I"" autocorrect glitch is driving me insane","This stupid ""I"" autocorrect glitch is driving me insane @AppleSupport",,,,Historical agent resolution snippet: We can help! Check out these steps for help with what you're seeing: DM us any other questions....
gold_073,"Hi! Any news on #ApplePay becoming supported by banks in Finland, other than Nordea?",,,,,"Historical agent resolution snippet: We value your feedback on ApplePay. To have your voice heard, leave your suggestions here:..."
gold_074,still glitching on the typing for I️t and I,,,,,Historical agent resolution snippet: Here’s what you can do to work around the issue until it’s fixed in a future software update:...
gold_075,iphone 6 plus i os updated to 11.0.3 phone call hearing speaker sounds is very very low,"iphone 6 plus i os updated to 11.0.3 phone call hearing speaker sounds is very very low https://t.co/AexAeZEt10
@AppleSupport Hi I have the exact same issue, have you managed to fix this ?
Great guys thanks very much https://t.co/ZD3ldN09Gh
Hi I have 6S plus, tried all the normal stuff and reset phone still same issue all started when I updated iOS
Yeah guys that did not help solve the issue",,,,Historical agent resolution snippet: Thanks for reaching out. Please let us know any troubleshooting steps you have taken. We don't want to repeat steps....
gold_076,Can’t send photos directly from PHOTOs app.Have to open whatsapp and then by adding photos.,"@4305 Can’t send photos directly from PHOTOs app.Have to open whatsapp and then by adding photos. https://t.co/e22tkNnWeg
So sweet of you guys.😍",,,,Historical agent resolution snippet: Let's look into that. Send us a DM and we'll go from there....
gold_077,all my phone has been doing is freezing ever since ive downloaded ios11 #help,,,,,Historical agent resolution snippet: We're happy to look into this with you. DM us your model iPhone and the iOS 11 version currently installed to get starte...
gold_078,My iPhone keeps getting jacked - anybody with advice is it you guys? Please help?,My iPhone keeps getting jacked - anybody with advice @115858 is it you guys? Please help?,,,,"Historical agent resolution snippet: We'd love to help in any way we can. Send us a DM with more details on what's happening, and we'll go from there:..."
gold_079,Can fix the updates bc these ? in a box has texts & posts looking real crazy😧Please & thank you!!️,Can @115858 fix the updates bc these ? in a box has texts &amp; posts looking real crazy😧Please &amp; thank you‼️,,,,Historical agent resolution snippet: We're here to help. Let's talk about it in DM....
gold_080,my phone keep changing “it” into “i.t” what’s good with that,"my phone keep changing “it” into “i.t” what’s good with that @AppleSupport
https://t.co/RT5Emj5zmk
nope. still doesn’t work",,,,Historical agent resolution snippet: We want to be sure that your spell check functions as you'd expect. We can help! Which iOS are you running currently?...
gold_081,"this is super effing annoying, I tried changing keyboard shortcut but I️t hasn’t worked. Can you help?","this is super effing annoying, I tried changing keyboard shortcut but I️t hasn’t worked. Can you help? https://t.co/pf7AuXvg9Z
I already have that for the lower case i, but it doesn’t work for “it”",,,,Historical agent resolution snippet: Here’s what you can do to work around the issue until it’s fixed in a future software update:...
gold_082,#AppleUpdate is this new update going to stop my Bluetooth disconnecting? Constant issue with these last 2 updates. #nothappy #ios,"#AppleUpdate @115858 is this new update going to stop my Bluetooth disconnecting? Constant issue with these last 2 updates. #nothappy #ios
First time it occurred was after upgrading to new iOS, had hoped last update would fix it
Using Bluetooth devices car bluetooth &amp; bose qc35s and over span of an hour will disconnect approx 5 times, irregularly, never did before",,,,Historical agent resolution snippet: Thanks for reaching out to us. Can you please provide more details about your issue? We can better assist that way....
gold_083,Hi is Display Zoom available on the iPhone X? I can't seem to find. Thank you,"Hi is Display Zoom available on the iPhone X? I can't seem to find. Thank you
Thanks for replying. I'm ""disappointed"", some of us actually like &amp; need Display Zoom. Will u consider bringing it to the X?",,,,Historical agent resolution snippet: Thanks for reaching out! The iPhone X does not support Display Zoom. Check this out for more information:...
gold_084,any idea why my ipad screen won’t rotate after the iOS update? The rotate lock isn’t on. Was fine before. Have tried reset.,"any idea why my ipad screen won’t rotate after the iOS update? The rotate lock isn’t on. Was fine before. Have tried reset.
Yes, I’ve tried restarting via those steps numerous times and it hasn’t done anything.
Home screen not rotating at all, always portrait. All apps opening portrait, including Netflix, but that goes to landscape when vid plays.
I’ve checked all those, I haven’t got the rotate lock on the side button or anything. What should I do now?",,,,Historical agent resolution snippet: Let's dig into this together. You mentioned you'd reset the iPad. Have you restarted with these steps:...
gold_085,Hey fix the issue with the word “eye” please...it’s irritating,Hey @115858 fix the issue with the word “eye” please...it’s irritating,,,,Historical agent resolution snippet: Here’s what you can do to work around the issue until it’s fixed in a future software update:...
gold_086,Yo I️ didn’t pay a stack to have squares with question marks pop up. Fix this.,"Yo @115858 I️ didn’t pay a stack to have squares with question marks pop up. Fix this.
I️ shouldn’t have to do all that to be able to type an I️. Where’s your manager.
I️ tried but no one responded :(",,,,Historical agent resolution snippet: We're happy to help. Take a look at this article with some steps to help with this issue:...
gold_087,ever since the update ios 11 my battery has been going down quicker. I have the 7 plus,"ever since the update ios 11 my battery has been going down quicker. I have the 7 plus
I downloaded the update when it launched and yes I did download the latest update as well😔",,,,Historical agent resolution snippet: We want to help! How long has this been going on? Do you have the most recent version of iOS 11.0.2 downloaded?...
gold_088,my phone autocorrects tn to rn please fix this fatal flaw thank u,,,,,Historical agent resolution snippet: We'd be happy to look into this. Can you DM us the version of iOS running on your iPhone? Go to Settings > General > Abo...
gold_089,Guess I️ get to watch 2 episodes of the today.,"Guess I️ get to watch 2 episodes of the @318653 today. @66612 @66613 @27726
@66612 @66613 @27726 And @115858 fix the goddamn I!",,,,Historical agent resolution snippet: Here’s what you can do to work around the issue until it’s fixed in a future software update:...
gold_090,"we are not getting response from apple India wrote two mails , i hvent expect such from apple inc.","we are not getting response from apple India  wrote two mails , i hvent expect such from apple inc.
i am trying the given contact no, and email but no reply yet no connect, is this attitude of apple
thnx the issue had been resolved.",,,,Historical agent resolution snippet: We are here to help. DM us the details of your issue and we can take a look at this....
gold_091,why is my phone autocorrecting the letter “I️” to “A ?” ?,"why is my phone autocorrecting the letter “I️” to “A ?” ? https://t.co/t7FXejdFp9
Fucking LOL it did it again ^^^",,,,Historical agent resolution snippet: We'd like to look into this with you. DM us and we'll continue from there....
gold_092,what’s up with your guys screen recording feature? The sound cancels out when I try and play music during the recording.,,,,,Historical agent resolution snippet: Hey there! That's a great question! Please check out this awesome article about screen recording:...
gold_093,can you please update your maps for the new queensferry bridge. I’m nae in the middle of the north sea and my phone is yellin @ me.,can you please update your maps for the new queensferry bridge. I’m nae in the middle of the north sea and my phone is yellin @ me. https://t.co/nV6JQN01fQ,,,,"Historical agent resolution snippet: Thanks for reaching out. We'd like to have you ""Report an issue in Maps"" following the steps here:..."
gold_094,going in for a GB appt later today for my AirPods because of audio problems. Is there a safe way to clean the mesh to test?,,,,,Historical agent resolution snippet: We want to help get you ready for your appointment. Reference the cleaning section of this article:...
gold_095,"none of my apps will update, what gives?","@115858 none of my apps will update, what gives?
Whilst on WiFi, I selected update all, and nothing downloads, I also try individual updates and still No luck",,,,Historical agent resolution snippet: Lets look into this together. What happens when you try to update an app?...
gold_096,my charger just died and it’s not even that old. it’s an 85w Lshaped. What do I do?,,,,,Historical agent resolution snippet: We’d be glad to look into this with you. Please confirm the age of the charger via DM and we’ll start from there....
gold_097,Weird line on the keyboard on every app???,"Weird line on the keyboard on every app??? https://t.co/aXx49HOaq8

I have 11.1 beta. It is also virtually impossible to text with this update.",,,,Historical agent resolution snippet: We'd like to help you resolve this. Could you tell us which device your using and the version of iOS installed currently...
gold_098,why does the question mark in a box keep popping up whenever i type i ?,,,,,Historical agent resolution snippet: Here’s what you can do to work around the issue until it’s fixed in a future software update:...
gold_099,At least I️ was good to you,"At least I️ was good to you
yo wtf is this bs",,,,Historical agent resolution snippet: Here’s what you can do to work around the issue until it’s fixed in a future software update:...
gold_100,why is the letter “i” malfunctioning on the keyboard?,,,,,Historical agent resolution snippet: We'd like to look into this with you. Please DM us and let us know which apps this occurs with....
gold_101,"My iPhone 7 Plus has turned into a brick, that I have to restart 10+ times a day, since the official iOS 11 update (ran beta) thanks","My iPhone 7 Plus has turned into a brick, that I have to restart 10+ times a day, since the official iOS 11 update (ran beta) thanks @115858",,,,Historical agent resolution snippet: We'd love to help. DM us the exact iOS version that you're using here:...
gold_102,how do I verify my device with a code sent to my other devices? If only have one and that's the one I need the code for.......,,,,,Historical agent resolution snippet: Hi there. Please send us a DM with more information. Have you already set up Two-factor authentication?...
gold_103,you NEED to fix the new update. My phone has been haywire since I updated.,,,,,"Historical agent resolution snippet: What exactly is happening with your phone since the update? Please let us know more, and we'll be happy to help!..."
